Año de siembra,Fecha de siembra,Superficie (m2),Altitud (msnm),Distancia entre filas (cm),Distancia en la fila (cm),Mecanización (cm),Fertilización,Riego,Clima,Costo de producción (USD),Producción (kg)
2024,2024-01-29,10000.0,364.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,115.62,26579.976642728067
2023,2023-12-13,1000.0,721.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,131.87,1864.2539457613584
2023,2023-12-13,1000.0,654.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,94.02,2447.521122676108
2023,2023-12-23,3000.0,615.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Subtropical,105.72,5451.063674978327
2023,2023-12-23,6000.0,419.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,127.25,12467.03910175017
2023,2023-12-07,5000.0,312.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,140.93,10000.0
2024,2024-01-20,7000.0,372.0,100,,50,Tuberización (40-50 días),Finalización (75-80 dds),Subtropical,70.33,19261.09829843307
2024,2024-03-10,6000.0,734.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,120.17,12084.946167182412
2024,2024-02-12,3000.0,577.0,100,,50,Tuberización (40-50 días),Finalización (75-80 dds),Seco,42.92,7583.015622473586
2024,2024-02-07,5000.0,3500.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Subtropical,75.25,11078.676685514305
2024,2024-01-16,10000.0,661.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,116.97,26684.37375915354
2024,2024-01-05,2000.0,419.0,100,50.0,50,Presiembra,Presiembra,Tropical,22.64,5139.2421533522975
2024,2024-01-10,3000.0,374.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,118.81,7159.83179780634
2024,2024-01-12,7000.0,526.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Subtropical,66.89,16279.269001972945
2023,2023-12-25,7000.0,250.0,100,50.0,50,Presiembra,Presiembra,Tropical,82.96,13917.296921108311
2024,2024-01-10,5000.0,403.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Subtropical,85.21,12058.878652792224
2024,2024-02-01,5000.0,636.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,43.45,13833.798990564188
2024,2024-02-24,8000.0,464.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,61.32,20338.935553837437
2024,2024-03-22,3000.0,421.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,135.5,5707.933255450335
2024,2024-01-25,,614.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,70.29,7767.952103402194
2024,2024-02-27,8000.0,714.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,95.12,19633.63827670708
2024,2024-02-07,300.0,553.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,17.38,841.5242083325869
2024,2024-02-04,5000.0,508.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,123.57,9388.466006801067
2024,2024-01-10,5000.0,432.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Subtropical,63.17,9294.117173469982
2024,2024-03-04,9000.0,679.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,112.69,20570.81991262139
2024,2024-01-27,1000.0,534.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,55.97,1827.672452956599
2024,2024-03-29,8000.0,628.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Seco,139.28,21301.558552429087
2023,2023-12-31,10000.0,509.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,34.61,25138.336437080674
2024,2024-02-16,3000.0,361.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,85.05,6822.360765631803
2024,2024-03-19,8000.0,654.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,127.12,16795.743483287184
2024,2024-03-23,300.0,392.0,100,50.0,50,Presiembra,Presiembra,Tropical,100.28,636.6681641872973
2024,2024-01-14,5000.0,717.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,72.31,9418.046717255012
2024,2024-01-11,,452.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,135.8,2099.6171272594797
2024,2024-01-01,8000.0,681.0,100,50.0,50,Presiembra,Presiembra,Tropical,21.98,16955.001459522096
2024,2024-01-10,7000.0,294.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,82.88,15000.0
2024,2024-03-29,8000.0,,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,145.84,18750.371874078424
2024,2024-01-25,,541.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,100.64,
2024,2024-01-27,6000.0,773.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,64.84,15096.665071574063
2023,2023-12-13,300.0,563.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,148.24,541.4031019477409
2024,2024-03-28,7000.0,437.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,17.17,18368.94591328939
2024,2024-03-23,5000.0,475.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,132.57,9663.558901867389
2024,2024-01-18,10000.0,560.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,133.73,24218.941409298448
2024,2024-03-30,3000.0,544.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,58.63,
2023,2023-12-30,5000.0,547.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),,94.51,13666.969921071217
2024,2024-03-19,300.0,707.0,100,50.0,50,Presiembra,Presiembra,Tropical,139.95,749.3984884844643
2024,2024-03-17,10000.0,599.0,100,50.0,50,Presiembra,Presiembra,Tropical,23.98,27453.95393169779
2023,2023-12-02,9000.0,456.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,111.3,24398.57226067786
2023,2023-12-06,8000.0,98.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,35.83,17617.32013724642
2023,2023-12-13,7000.0,549.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,16.66,20279.48229747802
2023,2023-12-21,6000.0,345.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,143.4,13786.27177595025
2024,2024-02-09,2000.0,667.0,100,,50,Presiembra,Semanal (primer mes),Tropical,38.92,5561.2509632092
2024,2024-02-09,8000.0,377.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Subtropical,128.09,
2024,2024-03-06,8000.0,655.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,145.06,19676.35711229332
2024,2024-02-17,1000.0,557.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,98.76,2871.064158229939
2023,2023-12-28,,587.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,89.54,613.9843976277529
2024,2024-01-09,2000.0,468.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,74.3,5502.667973073805
2023,2023-12-19,10000.0,576.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,25.64,28051.805148672043
2023,2023-12-14,300.0,399.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,53.33,548.3156876088252
2024,2024-02-07,4000.0,336.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,18.71,7489.989242997638
2023,2023-12-20,,,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,39.23,15892.390882020374
2023,2023-12-12,5000.0,,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,114.29,12489.672059115896
2024,2024-01-24,10000.0,,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,91.03,20028.907044853757
2024,2024-02-29,4000.0,412.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,141.7,9889.256032019284
2024,2024-03-05,9000.0,342.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,60.84,
2024,2024-01-26,10000.0,636.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,140.01,20846.685991610222
2024,2024-03-13,1000.0,479.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,31.43,2120.3252705489967
2023,2023-12-18,6000.0,772.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,102.49,15895.369444867494
2023,2023-12-01,300.0,327.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,20.59,635.149930332454
2024,2024-03-04,300.0,431.0,100,50.0,50,Tuberización (40-50 días),Presiembra,,51.99,630.098784787689
2023,2023-12-24,6000.0,,100,,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,135.27,16799.25232454539
2024,2024-01-25,9000.0,312.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,59.28,18803.60634954931
2023,2023-12-26,10000.0,,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,89.32,28330.114563730764
2023,2023-12-11,9000.0,274.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,39.63,24162.956162073373
2023,2023-12-11,,557.0,100,50.0,50,Presiembra,Semanal (primer mes),Subtropical,116.04,9643.484218933807
2024,2024-01-04,8000.0,622.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),,116.12,19420.40212260406
2023,2023-12-26,6000.0,334.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,67.88,14577.15651444365
2023,2023-12-15,4000.0,518.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,116.98,9302.237532615518
2024,2024-01-04,300.0,409.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,78.87,787.3767763771996
2023,2023-12-03,10000.0,358.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),,83.78,20618.27498618144
2024,2024-03-27,6000.0,372.0,100,,50,Presiembra,Finalización (75-80 dds),Tropical,141.35,17377.83514742953
2024,2024-02-09,6000.0,859.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,91.4,14142.341580277513
2024,2024-01-30,2000.0,624.0,100,,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,74.93,5389.319577706246
2024,2024-02-20,,593.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,85.83,10000.0
2024,2024-03-05,300.0,300.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,117.62,
2023,2023-12-09,6000.0,323.0,100,,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,81.61,17206.625700208126
2024,2024-02-26,1000.0,721.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,69.59,2513.2913940588005
2023,2023-12-08,300.0,541.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Subtropical,129.06,751.562841628415
2024,2024-02-27,8000.0,563.0,100,,50,Tuberización (40-50 días),Presiembra,Subtropical,80.09,19745.785750035342
2023,2023-12-04,6000.0,717.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,88.22,13903.329760089351
2024,2024-03-14,10000.0,562.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,132.35,23897.11439600766
2024,2024-01-20,,476.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,146.84,12732.551514022221
2023,2023-12-25,10000.0,702.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),,118.68,20224.38988416613
2024,2024-03-03,6000.0,187.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,21.6,11834.318450912064
2024,2024-03-24,4000.0,377.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,51.84,10630.753748662433
2023,2023-12-27,10000.0,556.0,100,50.0,50,Presiembra,Presiembra,Subtropical,104.54,29239.539464344838
2024,2024-02-05,3000.0,336.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,38.86,6710.849767165664
2024,2024-01-02,6000.0,730.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,79.18,17765.019810869828
2024,2024-02-11,5000.0,288.0,100,50.0,50,Presiembra,Presiembra,Tropical,109.79,10089.070284093157
2024,2024-03-09,300.0,660.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,116.53,868.3491722705272
2023,2023-12-25,7000.0,426.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,74.09,15590.631681981304
2024,2024-03-03,7000.0,264.0,100,50.0,50,Tuberización (40-50 días),Presiembra,,42.35,19428.94698510925
2024,2024-03-05,5000.0,719.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Seco,67.05,10120.716868741181
2024,2024-03-01,5000.0,508.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,94.17,14946.006094771503
2023,2023-12-25,6000.0,351.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,78.18,16282.171978458551
2023,2023-12-14,300.0,539.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,58.05,782.8214227160236
2024,2024-03-21,3000.0,399.0,100,,50,Presiembra,Finalización (75-80 dds),Seco,42.92,6972.813012159671
2024,2024-03-27,300.0,443.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,125.13,848.4779750364283
2023,2023-12-26,1000.0,235.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,91.38,2333.7575020893746
2024,2024-03-05,10000.0,745.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Subtropical,88.68,28145.18955522729
2024,2024-03-16,300.0,506.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,57.85,635.0270924581122
2023,2023-12-27,9000.0,285.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),,70.72,16310.286367402457
2023,2023-12-17,300.0,630.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,60.53,552.9327909457173
2024,2024-02-25,9000.0,821.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Subtropical,89.38,23092.733330542684
2024,2024-03-11,1000.0,444.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,31.61,2754.7995876042914
2024,2024-03-17,5000.0,336.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,54.34,10932.93233463358
2024,2024-02-21,8000.0,470.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,117.91,15402.187939989579
2024,2024-03-02,9000.0,305.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,71.77,25644.2370773186
2024,2024-03-21,1000.0,353.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Subtropical,84.35,2257.238496240941
